Codigo Inventario,Registro Contable,Fecha Movimiento,Cod. Almacén,Nom. Almacen,Cod. Producto,Nombre Producto,Cod. Comercial,Codigo Unidad Medida,Nombre Unidad Medida,Clase,Sub Clase,Sub Sub Clase,Marca,Temporada,Tipo Operacion,Nombre Tipo Operacion,Cod. Ref,Cod. Tipo Documento,Tipo Documento,Nro. Serie,Nro. Documento,Cod. Doc. Final,Nro. Serie Doc. Final,Nro. Doc. Final,Movimiento,Unid. Medida Registro,Cantidad,Factor,Unidad Medida Base,Cantidad Entrada,Costo Entrada,Total Entrada,Cantidad Salida,Costo Salida,Total Salida,Saldo Cantidad,Saldo Costo,Saldo Total,U.M. Sin Convertir,Cantidad Sin Convertir,Cantidad Secundaria Entrada,Cantidad Secundaria Salida,Saldo Cantidad Secundaria,Tipo Existencia,Nombre Existencia,Cod. Centro Costos,Nombre Centro Costos,Cod. Sub Centro Costos,Nombre Sub Centro Costos,Cod. Sub Sub Centro Costos,Nombre Sub Sub Centro Costos,Magen Venta,Numero de Documento Auxiliar,Nombre Auxiliar
INV000301306,INPR_LD04-00886,2025-04-02 15:29:00,A13,ALMACEN DE PT - FABRICA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Salida,UND,10,1,Unidades,0,0,0,10,19.82273,198.2273,118,19.82273,2339.08214,UND,10,0,0,0,01,MERCADERÍA,07,FABRICA,0704,COSTO DE COMPRA,070401,COSTO DE COMPRA,0,20102351038,EL CHALAN SAC
INV000301306,INPR_LD04-00886,2025-04-02 15:29:00,A05,ALMACEN CHALAN OPEN,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Entrada,UND,10,1,Unidades,10,19.82273,198.2273,0,0,0,18.596,19.82285480748548,368.625808,UND,10,0,0,0,01,MERCADERÍA,07,FABRICA,0704,COSTO DE COMPRA,070401,COSTO DE COMPRA,0,20102351038,EL CHALAN SAC
INV000300554,INPR_LD04-00734,2025-04-02 23:00:00,A13,ALMACEN DE PT - FABRICA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,54,P TERMINADO CREMOLADAS,,  ,,,,,,,Entrada,UND,82,1,Unidades,82,16.9836869,1392.662326,0,0,0,200,18.65872233,3731.744466,,,0,0,0,01,MERCADERÍA,07,FABRICA,0701,CREMOLADAS,070106,COSTO DE COMPRAS,0,,
INV000287071,INPR_LD04-00164,2025-04-03 06:24:00,A13,ALMACEN DE PT - FABRICA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Salida,UND,3,1,Unidades,0,0,0,3,17.083888,51.251664,197,18.682704578680205,3680.492802,UND,3,0,0,0,01,MERCADERÍA,07,FABRICA,0704,COSTO DE COMPRA,070401,COSTO DE COMPRA,0,,
INV000287071,INPR_LD04-00164,2025-04-03 06:24:00,A06,ALMACEN CHALAN MEGA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Entrada,UND,3,1,Unidades,3,19.82273,59.46819,0,0,0,12.863,19.822735986939282,254.979853,UND,3,0,0,0,01,MERCADERÍA,07,FABRICA,0704,COSTO DE COMPRA,070401,COSTO DE COMPRA,0,,
INV000287062,INPR_LD04-00155,2025-04-03 06:29:00,A13,ALMACEN DE PT - FABRICA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Salida,UND,14,1,Unidades,0,0,0,14,17.483302,244.766228,183,18.774462153005462,3435.726574,UND,14,0,0,0,01,MERCADERÍA,07,FABRICA,0704,COSTO DE COMPRA,070401,COSTO DE COMPRA,0,,
INV000287062,INPR_LD04-00155,2025-04-03 06:29:00,A03,ALMACEN CHALAN GRAU,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Entrada,UND,14,1,Unidades,14,19.82273,277.51822,0,0,0,22,19.82273,436.10006,UND,14,0,0,0,01,MERCADERÍA,07,FABRICA,0704,COSTO DE COMPRA,070401,COSTO DE COMPRA,0,,
INV000247030,INS6_LD04-00009,2025-04-03 07:44:31.587000,A13,ALMACEN DE PT - FABRICA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Salida,UND,2,1,Unidades,0,0,0,2,17.539003,35.078006,181,18.788113635359117,3400.648568,UND,2,0,0,0,01,MERCADERÍA,01010101,GENERAL,01010101,GENERAL,01010101,GENERAL,0,,
INV000247030,INS6_LD04-00009,2025-04-03 07:44:31.587000,A02,ALMACEN CHALAN PLAZA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Entrada,UND,2,1,Unidades,2,19.82273,39.64546,0,0,0,30.022,19.82273735926987,595.118221,UND,2,0,0,0,01,MERCADERÍA,01010101,GENERAL,01010101,GENERAL,01010101,GENERAL,0,,
INV000247033,INS6_LD04-00011,2025-04-03 08:04:03.187000,A13,ALMACEN DE PT - FABRICA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Salida,UND,17,1,Unidades,0,0,0,17,17.931158,304.829686,164,18.876944402439026,3095.818882,UND,17,0,0,0,01,MERCADERÍA,01010101,GENERAL,01010101,GENERAL,01010101,GENERAL,0,,
